epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants
107,2021-02-15,Brazil,MT,TOTAL,22,5485,1063,234154,5396,232716,157.41293,6719.93930,0.02342,220109,33588,898963,25799.16119,72150,2.07062,13893,0.39871,,
107,2021-02-15,Brazil,PA,TOTAL,45,8064,1223,349671,8019,348448,93.73621,4064.58779,0.02306,328018,820,980727,11400.00453,123632,1.43710,9130,0.10613,,
107,2021-02-15,Brazil,PB,TOTAL,13,4255,995,205579,4255,205579,105.89511,5116.28926,0.02070,155205,47948,627628,15619.91445,89238,2.22089,4201,0.10455,,
107,2021-02-15,Brazil,PE,TOTAL,15,10677,803,281331,10677,281331,111.71833,2943.69478,0.03795,240595,2239,1159324,12130.53665,227385,2.37923,36853,0.38561,,
107,2021-02-15,Brazil,PI,TOTAL,11,3201,491,166589,3190,166098,97.79340,5089.44231,0.01921,162868,941,525493,16054.27916,60272,1.84136,606,0.01851,,
107,2021-02-15,Brazil,PR,TOTAL,27,10765,1406,589494,10765,589494,94.14938,5155.64297,0.01826,431787,13360,2227986,19485.69511,257305,2.25036,9569,0.08369,,
107,2021-02-15,Brazil,RJ,TOTAL,25,31512,706,555541,31512,555541,182.52015,3217.74013,0.05672,520643,52017,2313502,13399.99790,370045,2.14333,,,,
107,2021-02-15,Brazil,RN,TOTAL,3,3438,214,158296,3413,156939,98.03662,4513.90463,0.02172,108220,72141,575207,16402.36987,74947,2.13716,5332,0.15205,,
107,2021-02-15,Brazil,RO,TOTAL,24,2533,781,137384,2533,137384,142.52557,7730.25363,0.01844,116261,196966,384917,21658.31563,36438,2.05028,99,0.00557,,
107,2021-02-15,Brazil,RR,TOTAL,19,995,166,77697,976,77531,164.25620,12826.34570,0.01281,74276,36964,175142,28912.72300,23272,3.84178,1970,0.32521,,
107,2021-02-15,Brazil,RS,TOTAL,8,11387,969,586315,11387,586315,100.08579,5153.40321,0.01942,560483,1255,2425327,21317.36004,345747,3.03894,6424,0.05646,,
107,2021-02-15,Brazil,SC,TOTAL,19,6746,2277,615441,6746,615441,94.15491,8589.80056,0.01096,589504,108569,1531799,21379.54396,130338,1.81915,20504,0.28618,,
107,2021-02-15,Brazil,SE,TOTAL,5,2881,648,145677,2881,145677,125.33193,6337.37563,0.01978,135603,2993,304263,13236.33051,39617,1.72346,12656,0.55057,,
107,2021-02-15,Brazil,SP,TOTAL,38,56304,2316,1915914,56304,1915914,122.61578,4172.37299,0.02939,1689766,978315,8153498,17756.24317,1572135,3.42371,1,0.00000,,
107,2021-02-15,Brazil,TO,TOTAL,1,1458,320,107560,1457,107240,92.69703,6838.47194,0.01356,97794,306,341198,21692.75704,27816,1.76849,,,,
107,2021-02-15,Brazil,TOTAL,TOTAL,611,240032,25808,9873816,239773,9866710,113.35327,4662.83381,0.02431,8832120,4548729,33741300,15934.06991,5324317,2.51437,285620,0.13488,,
